:START_ID,:END_ID,:TYPE
584,54015938,BELONGS_TO
585,54015962,BELONGS_TO
586,54015978,BELONGS_TO
587,54015992,BELONGS_TO
588,54015994,BELONGS_TO
589,54015996,BELONGS_TO
590,54016004,BELONGS_TO
591,54016007,BELONGS_TO
592,54016009,BELONGS_TO
593,54016012,BELONGS_TO
594,54016029,BELONGS_TO
595,54016039,BELONGS_TO
596,54016041,BELONGS_TO
597,54016045,BELONGS_TO
598,54016056,BELONGS_TO
599,54016064,BELONGS_TO
600,54016064,BELONGS_TO
601,54016069,BELONGS_TO
602,54016075,BELONGS_TO
603,54016088,BELONGS_TO
604,54016088,BELONGS_TO
605,54016091,BELONGS_TO
606,54016095,BELONGS_TO
607,54016104,BELONGS_TO
608,54016105,BELONGS_TO
609,54016128,BELONGS_TO
610,54016130,BELONGS_TO
611,54016149,BELONGS_TO
612,54016152,BELONGS_TO
613,54016158,BELONGS_TO
614,54016163,BELONGS_TO
615,54016209,BELONGS_TO
616,54016216,BELONGS_TO
617,54016216,BELONGS_TO
618,54016216,BELONGS_TO
619,54016226,BELONGS_TO
620,54016229,BELONGS_TO
621,54016231,BELONGS_TO
622,54016239,BELONGS_TO
623,54016244,BELONGS_TO
624,54016245,BELONGS_TO
625,54016261,BELONGS_TO
626,54016268,BELONGS_TO
627,54016300,BELONGS_TO
628,54016303,BELONGS_TO
629,54016306,BELONGS_TO
630,54016309,BELONGS_TO
631,54016313,BELONGS_TO
632,54016337,BELONGS_TO
633,54016339,BELONGS_TO
634,54016358,BELONGS_TO
635,54016372,BELONGS_TO
636,54016378,BELONGS_TO
637,54016380,BELONGS_TO
638,54016383,BELONGS_TO
639,54016407,BELONGS_TO
640,54016407,BELONGS_TO
641,54016409,BELONGS_TO
642,54016409,BELONGS_TO
643,54016421,BELONGS_TO
644,54016427,BELONGS_TO
645,54016430,BELONGS_TO
646,54016443,BELONGS_TO
647,54016472,BELONGS_TO
648,54016476,BELONGS_TO
649,54016484,BELONGS_TO
650,54016511,BELONGS_TO
651,54016516,BELONGS_TO
652,54016530,BELONGS_TO
653,54016538,BELONGS_TO
654,54016538,BELONGS_TO
655,54016539,BELONGS_TO
656,54016541,BELONGS_TO
657,54016542,BELONGS_TO
658,54016547,BELONGS_TO
659,54016550,BELONGS_TO
660,54016550,BELONGS_TO
661,54016565,BELONGS_TO
662,54016593,BELONGS_TO
663,54016602,BELONGS_TO
664,54016602,BELONGS_TO
665,54016608,BELONGS_TO
666,54016609,BELONGS_TO
667,54016613,BELONGS_TO
668,54016625,BELONGS_TO
669,54016628,BELONGS_TO
670,54016633,BELONGS_TO
671,54016638,BELONGS_TO
672,54016641,BELONGS_TO
673,54016641,BELONGS_TO
674,54016647,BELONGS_TO
675,54016684,BELONGS_TO
676,54016704,BELONGS_TO
677,54016705,BELONGS_TO
678,54016713,BELONGS_TO
679,54016721,BELONGS_TO
680,54016759,BELONGS_TO
681,54016759,BELONGS_TO
682,54016777,BELONGS_TO
683,54016779,BELONGS_TO
684,54016785,BELONGS_TO
685,54016785,BELONGS_TO
686,54016839,BELONGS_TO
687,54016845,BELONGS_TO
688,54016878,BELONGS_TO
689,54016888,BELONGS_TO
690,54016890,BELONGS_TO
691,54016918,BELONGS_TO
692,54016923,BELONGS_TO
693,54016931,BELONGS_TO
694,54016948,BELONGS_TO
695,54016950,BELONGS_TO
696,54016953,BELONGS_TO
697,54016958,BELONGS_TO
698,54016959,BELONGS_TO
699,54016961,BELONGS_TO
700,54016970,BELONGS_TO
701,54016974,BELONGS_TO
702,54016983,BELONGS_TO
703,54016988,BELONGS_TO
704,54016997,BELONGS_TO
705,54017000,BELONGS_TO
706,54017002,BELONGS_TO
707,54017002,BELONGS_TO
708,54017004,BELONGS_TO
709,54017012,BELONGS_TO
710,54017013,BELONGS_TO
711,54017039,BELONGS_TO
712,54017091,BELONGS_TO
713,54017091,BELONGS_TO
714,54017093,BELONGS_TO
715,54017103,BELONGS_TO
716,54017107,BELONGS_TO
717,54017109,BELONGS_TO
718,54017111,BELONGS_TO
719,54017113,BELONGS_TO
720,54017118,BELONGS_TO
721,54017119,BELONGS_TO
722,54017119,BELONGS_TO
723,54017124,BELONGS_TO
724,54017167,BELONGS_TO
725,54017196,BELONGS_TO
726,54017198,BELONGS_TO
727,54017202,BELONGS_TO
728,54017207,BELONGS_TO
729,54017214,BELONGS_TO
730,54017224,BELONGS_TO
731,54017238,BELONGS_TO
732,54017238,BELONGS_TO
733,54017252,BELONGS_TO
734,54017252,BELONGS_TO
735,54017253,BELONGS_TO
736,54017262,BELONGS_TO
737,54017267,BELONGS_TO
738,54017322,BELONGS_TO
739,54017333,BELONGS_TO
740,54017376,BELONGS_TO
741,54017384,BELONGS_TO
742,54017397,BELONGS_TO
743,54017427,BELONGS_TO
744,54017427,BELONGS_TO
745,54017449,BELONGS_TO
746,54017466,BELONGS_TO
747,54017491,BELONGS_TO
748,54017492,BELONGS_TO
749,54017495,BELONGS_TO
750,54017500,BELONGS_TO
751,54017503,BELONGS_TO
752,54017506,BELONGS_TO
753,54017509,BELONGS_TO
754,54017509,BELONGS_TO
755,54017534,BELONGS_TO
756,54017562,BELONGS_TO
757,54017585,BELONGS_TO
758,54017595,BELONGS_TO
759,54017602,BELONGS_TO
760,54017605,BELONGS_TO
761,54017612,BELONGS_TO
762,54017691,BELONGS_TO
763,54017699,BELONGS_TO
764,54017702,BELONGS_TO
765,54017705,BELONGS_TO
766,54017707,BELONGS_TO
767,54017723,BELONGS_TO
768,54017741,BELONGS_TO
769,54017753,BELONGS_TO
770,54017753,BELONGS_TO
771,54017757,BELONGS_TO
772,54017761,BELONGS_TO
773,54017766,BELONGS_TO
774,54017789,BELONGS_TO
775,54017799,BELONGS_TO
776,54017845,BELONGS_TO
777,54017851,BELONGS_TO
778,54017859,BELONGS_TO
779,54017874,BELONGS_TO
780,54017874,BELONGS_TO
781,54017880,BELONGS_TO
782,54017908,BELONGS_TO
783,54017915,BELONGS_TO
784,54018023,BELONGS_TO
785,54018023,BELONGS_TO
786,54018035,BELONGS_TO
787,54018067,BELONGS_TO
788,54018077,BELONGS_TO
789,54018078,BELONGS_TO
790,54018079,BELONGS_TO
791,54018101,BELONGS_TO
792,54018116,BELONGS_TO
793,54018137,BELONGS_TO
794,54018137,BELONGS_TO
795,54018143,BELONGS_TO
796,54018163,BELONGS_TO
797,54018171,BELONGS_TO
798,54018175,BELONGS_TO
799,54018198,BELONGS_TO
800,54018229,BELONGS_TO
801,54018244,BELONGS_TO
802,54018245,BELONGS_TO
803,54018264,BELONGS_TO
804,54018278,BELONGS_TO
805,54018288,BELONGS_TO
806,54018298,BELONGS_TO
807,54018320,BELONGS_TO
808,54018320,BELONGS_TO
809,54018321,BELONGS_TO
810,54018326,BELONGS_TO
811,54018341,BELONGS_TO
812,54018367,BELONGS_TO
813,54018395,BELONGS_TO
814,54018400,BELONGS_TO
815,54018426,BELONGS_TO
816,54018450,BELONGS_TO
817,54018478,BELONGS_TO
818,54018491,BELONGS_TO
819,54018501,BELONGS_TO
820,54018503,BELONGS_TO
821,54018506,BELONGS_TO
822,54018507,BELONGS_TO
823,54018528,BELONGS_TO
824,54018537,BELONGS_TO
825,54018566,BELONGS_TO
826,54018568,BELONGS_TO
827,54018576,BELONGS_TO
828,54018578,BELONGS_TO
829,54018587,BELONGS_TO
830,54018592,BELONGS_TO
831,54018605,BELONGS_TO
832,54018619,BELONGS_TO
833,54018621,BELONGS_TO
834,54018624,BELONGS_TO
835,54018634,BELONGS_TO
836,54018648,BELONGS_TO
837,54018648,BELONGS_TO
838,54018651,BELONGS_TO
839,54018651,BELONGS_TO
840,54018652,BELONGS_TO
841,54018667,BELONGS_TO
842,54018683,BELONGS_TO
843,54018726,BELONGS_TO
844,54018739,BELONGS_TO
845,54018745,BELONGS_TO
846,54018765,BELONGS_TO
847,54018769,BELONGS_TO
848,54018771,BELONGS_TO
849,54018783,BELONGS_TO
850,54018795,BELONGS_TO
851,54018811,BELONGS_TO
852,54018822,BELONGS_TO
853,54018845,BELONGS_TO
854,54018863,BELONGS_TO
855,54018870,BELONGS_TO
856,54018875,BELONGS_TO
857,54018900,BELONGS_TO
858,54018902,BELONGS_TO
859,54018909,BELONGS_TO
860,54018910,BELONGS_TO
861,54018911,BELONGS_TO
862,54018925,BELONGS_TO
863,54018952,BELONGS_TO
864,54018952,BELONGS_TO
865,54018957,BELONGS_TO
866,54018963,BELONGS_TO
867,54018984,BELONGS_TO
868,54019007,BELONGS_TO
869,54019019,BELONGS_TO
870,54019022,BELONGS_TO
871,54019043,BELONGS_TO
872,54019043,BELONGS_TO
873,54019044,BELONGS_TO
874,54019065,BELONGS_TO
875,54019073,BELONGS_TO
876,54019082,BELONGS_TO
877,54019112,BELONGS_TO
878,54019168,BELONGS_TO
879,54019203,BELONGS_TO
880,54019209,BELONGS_TO
881,54019209,BELONGS_TO
882,54019229,BELONGS_TO
883,54019229,BELONGS_TO
884,54019235,BELONGS_TO
885,54019235,BELONGS_TO
886,54019245,BELONGS_TO
887,54019268,BELONGS_TO
888,54019275,BELONGS_TO
889,54019275,BELONGS_TO
890,54019288,BELONGS_TO
891,54019293,BELONGS_TO
892,54019299,BELONGS_TO
893,54019317,BELONGS_TO
894,54019324,BELONGS_TO
895,54019337,BELONGS_TO
896,54019348,BELONGS_TO
897,54019350,BELONGS_TO
898,54019352,BELONGS_TO
899,54019355,BELONGS_TO
900,54019355,BELONGS_TO
901,54019360,BELONGS_TO
902,54019368,BELONGS_TO
903,54019382,BELONGS_TO
904,54019404,BELONGS_TO
905,54019405,BELONGS_TO
906,54019478,BELONGS_TO
907,54019511,BELONGS_TO
908,54019516,BELONGS_TO
909,54019525,BELONGS_TO
910,54019529,BELONGS_TO
911,54019550,BELONGS_TO
912,54019552,BELONGS_TO
913,54019553,BELONGS_TO
914,54019569,BELONGS_TO
915,54019569,BELONGS_TO
916,54019573,BELONGS_TO
917,54019579,BELONGS_TO
918,54019580,BELONGS_TO
919,54019596,BELONGS_TO
920,54019599,BELONGS_TO
921,54019603,BELONGS_TO
922,54019604,BELONGS_TO
923,54019605,BELONGS_TO
924,54019607,BELONGS_TO
925,54019642,BELONGS_TO
926,54019645,BELONGS_TO
927,54019654,BELONGS_TO
